"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"diffexpressed"
"ENPP2"	2984.40126592797	2.42165003526098	0.598106670018642	4.04885977142756	5.14677696520392e-05	0.021678415198808	"UP"
"ENPP6"	178.087307995308	2.35806382011482	0.517959911019958	4.5525990910597	5.29871894638974e-06	0.00932334173568624	"UP"
"EPRS1"	1259.87915288958	0.573626558514418	0.155292767844516	3.69383949089472	0.000220893262993524	0.0342579759577288	"UP"
"ERBB3"	1439.32490682685	1.90740200281317	0.548239951661094	3.4791371862521	0.000503031003236166	0.0423757043281726	"UP"
"FA2H"	729.351867914259	1.96620721011757	0.547933106376044	3.5884073935992	0.000332704127797127	0.0374492138109121	"UP"
"FAM107B"	1571.07867654222	2.08236449335134	0.575542684840932	3.61808871556913	0.000296786671143458	0.0368875018314643	"UP"
"FAM124A"	718.587342079701	1.24862948416933	0.366221724451946	3.4094904829524	0.00065084348710653	0.0440075228258247	"UP"
"FDFT1"	1249.46538987056	0.841522140715246	0.183626269716288	4.58279821299775	4.58794728019733e-06	0.00932334173568624	"UP"
"FEZ1"	4053.3221972091	0.986928922730003	0.280654813473211	3.5165223447137	0.000437239854210228	0.0406901929139087	"UP"
"FGFRL1"	672.778406973161	-0.919499719282335	0.265673728728784	-3.46101108183345	0.000538150658704515	0.0430210709652246	"DOWN"
"FIS1"	831.832745085535	0.639026225495167	0.181016075750065	3.53021809166548	0.000415217244764342	0.0401881699931595	"UP"
"FLNC"	1046.61714958533	1.76378926957725	0.470851735202257	3.74595469807412	0.000179709022000099	0.0324294008088962	"UP"
"FXYD4"	10.5697060789131	2.31880299601825	0.634651066833319	3.65366595472413	0.000258522562784424	0.035612604467791	"UP"
"FZD4"	378.971228095445	-0.687761368253202	0.19374211093264	-3.54988063742282	0.000385405854994294	0.0389602496526454	"DOWN"
"FZD5"	237.562604922795	1.33122247048766	0.389880641713877	3.41443592745651	0.000639142243065797	0.0439193060982827	"UP"
"GALNT6"	365.417195077777	2.27162691547152	0.585418343597505	3.88034802857723	0.000104307102727174	0.0282229265553034	"UP"
"GCLC"	733.565655319594	1.04247015881615	0.308255060996185	3.38184280072228	0.00072001334678131	0.0461104812050263	"UP"
"GJB1"	342.829994362471	2.5955736218884	0.583499726414664	4.44828592780498	8.65582571637253e-06	0.0114377769059207	"UP"
"GJC2"	451.974855040528	1.85769510824961	0.479778645098066	3.87198373089302	0.000107953159389378	0.0282229265553034	"UP"
"GLDN"	1495.71405479661	2.16719621487681	0.600696390819078	3.60780628617019	0.000308796900797362	0.0371120195899517	"UP"
"GLIPR2"	225.03111691108	1.5137979298303	0.451654016692874	3.35167600393485	0.000803239630039176	0.0489803897727642	"UP"
"GLTP"	492.299873614023	1.36002273854159	0.396391235335124	3.43101112564152	0.00060133593744953	0.0438377753118255	"UP"
"GNAI1"	1235.91060630911	1.19967223127044	0.328330034772559	3.65386076269714	0.000258326392138144	0.035612604467791	"UP"
"GNE"	391.120334608278	0.552063344029791	0.162335390209817	3.40075779727548	0.000671993390684337	0.0444164204612465	"UP"
"GOLIM4"	1110.21587093066	-0.704475997918817	0.200801748327012	-3.50831605694765	0.00045095296102757	0.0406901929139087	"DOWN"
"GPIHBP1"	606.749127135829	2.92265247475019	0.669563545701633	4.36501134733606	1.27116159713561e-05	0.0133075717360188	"UP"
"GPR37"	2709.23273995591	2.42779345415594	0.576431645977207	4.21176295767068	2.53385363202669e-05	0.0174643942001355	"UP"
"GPR62"	281.45322731786	2.18414371793126	0.535309127519509	4.08015407480917	4.50058596398517e-05	0.0203049554509181	"UP"
"GRM3"	1431.18062746898	0.929871414689811	0.26543758217407	3.50316412270519	0.000459766083925018	0.0406901929139087	"UP"
"GSN"	5763.54888310722	1.42605810397951	0.403028924824678	3.53835175626627	0.000402633294515825	0.0398169316685323	"UP"
"H1-4"	1091.47706464352	0.505767253910693	0.11180481810829	4.52366241874143	6.07786387288834e-06	0.00932334173568624	"UP"
"H2AJ"	117.646275118028	1.10623404642992	0.315220083235578	3.50940217728191	0.000449115232430605	0.0406901929139087	"UP"
"HACD1"	37.9308227816815	0.924146518887547	0.276116806154547	3.34694049144653	0.000817087487981765	0.0493164516032446	"UP"
"HAPLN2"	1974.52753907368	2.20573240869841	0.536799750174906	4.10904142183321	3.97304816371516e-05	0.0203049554509181	"UP"
"HHIP"	1591.32719700586	2.20947160439949	0.598246202840466	3.69324802047877	0.000221407890340124	0.0342579759577288	"UP"
"HINT3"	724.828031876011	0.654082868802178	0.193200347571558	3.3855160046227	0.000710445665083057	0.0459076079055401	"UP"
"HOXD1"	20.5944383882381	3.12281199297182	0.764525263606081	4.08464198847042	4.41448261169566e-05	0.0203049554509181	"UP"
"HSD11B1"	42.6406168310712	1.30148248815519	0.370670301589864	3.51115933100905	0.000446156901614092	0.0406901929139087	"UP"
"HSPA2"	3492.70797756846	2.05289955064355	0.531444702452469	3.86286577167858	0.000112064590535274	0.0288787426649974	"UP"
"IL2RB"	8.59701322836866	-2.38409760727712	0.626588037177421	-3.80488848465209	0.000141868091131864	0.0296695317714326	"DOWN"
"ILF2"	551.706053259946	0.552368862492578	0.164177168644015	3.36446819649009	0.000766913224304072	0.0476596756469839	"UP"
"INSIG1"	653.527833073672	1.27293770772524	0.334353861589085	3.80715718872019	0.000140573401920447	0.0296695317714326	"UP"
